fish_id,fish_name_bn,fish_name_en,category,culture_type,availability_type,country,source,source_reference,source_year,verification_status,notes
20,টেংরা,Tengra,Native/Other Fish,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
21,রিটা,Rita,Native/Other Fish,Freshwater aquaculture,হ্যাচারি/নার্সারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
22,বোয়াল,Boal,Native/Other Fish,Freshwater/capture,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
23,শোল,Shol,Snakehead,Freshwater aquaculture,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
24,টাকি,Taki,Snakehead,Freshwater aquaculture,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
25,গজার,Gajar,Snakehead,Freshwater aquaculture,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
26,চিতল,Chital,Native/Other Fish,Freshwater aquaculture,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
27,ফলি,Foli,Native/Other Fish,Freshwater aquaculture,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
28,মলা,Mola,Small Indigenous Fish,Freshwater,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
29,পুঁটি,Puti,Small Indigenous Fish,Freshwater,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
30,চাপিলা,Chapila,Small Indigenous Fish,Freshwater,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
31,বাইল্যা,Baila,Native/Other Fish,Freshwater/brackish,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
32,কুচিয়া,Kuchia,Eel,Freshwater,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
33,ইলিশ,Hilsa,River/Marine Fish,Capture fishery,হ্যাচারি নয়,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
34,ভেটকি/কোরাল,Bhetki/Koral,Brackish/Marine,Brackish & marine aquaculture,সীমিত হ্যাচারি,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
35,রূপচাঁদা,Pomfret,Marine Fish,Marine fishery,হ্যাচারি নয়,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
36,পোয়া,Croaker,Marine Fish,Marine fishery,হ্যাচারি নয়,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
37,লইট্টা,Bombay Duck,Marine Fish,Marine fishery,হ্যাচারি নয়,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
38,ছুরি মাছ,Ribbonfish,Marine Fish,Marine fishery,হ্যাচারি নয়,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
39,বাগদা চিংড়ি,Black Tiger Shrimp,Shrimp,Brackish water aquaculture,হ্যাচারি/PL,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
40,গলদা চিংড়ি,Giant Freshwater Prawn,Prawn,Freshwater/brackish aquaculture,হ্যাচারি/PL,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
41,কাঁকড়া,Mud Crab,Crab,Brackish water aquaculture,হ্যাচারি/ফ্যাটেনিং,Bangladesh,"Department of Fisheries (DoF), Bangladesh",DoF Fisheries Sector Overview + DoF Hatchery Registration System,2023-24 / current registration categories,Master species list; local hatchery availability must be verified,
