hatchery_id,hatchery_name,division,district,upazila,fish_species,owner_name,phone,address,hatchery_type,service_type,source,source_year,verification_status,notes
20,Bengal Bay Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
21,Marrygold Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
22,Sea Queen Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,উখিয়া,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
23,Gold Coast Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
24,Unique Tiger Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
25,Satkhira Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
26,Silvia Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
27,Sonar Gaon Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
28,Golden Shrimp Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
29,Pioneer Shrimp Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
30,Niribili Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
31,Prime Shrimp Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
32,Thai Bangla Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
33,United Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
34,Bally Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
35,Sea Gull Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
36,Flora Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
37,Shimizoo Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
38,Modern Hatchery Ltd.,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
39,ADB Hatchery,চট্টগ্রাম,কক্সবাজার,সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
40,Mausumi Hatchery Ltd.,চট্টগ্রাম,চট্টগ্রাম,চট্টগ্রাম সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
41,Gulf Hatchery Ltd.,খুলনা,খুলনা,দাকোপ,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
42,Red Star Hatchery Ltd.,খুলনা,খুলনা,দাকোপ,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
43,Gazi Hatchery Ltd.,খুলনা,খুলনা,দাকোপ,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
44,Blue Star Hatchery,খুলনা,খুলনা,পাইকগাছা,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
45,Chingri Bangla Hatchery Ltd.,খুলনা,সাতক্ষীরা,সাতক্ষীরা সদর,বাগদা চিংড়ি,,,,Shrimp hatchery,পোনা/PL,Department of Fisheries-related published hatchery list (historical reference),2002,Historical - verify current status before public display,Do not treat as a current active-hatchery directory.
