farm_id,division,district,upazila,farm_name,manager_name,address,phone,email,website,farm_type,fish_species,service_type,source,source_year,verification_status
43,Rangpur,Dinajpur,Kaharole,"F.S.M.F, Kaharole, Dinajpur",,,,fmkaharole@fisheries.gov.bd,http://fsmf.kaharol.dinajpur.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
44,Rangpur,Dinajpur,Setabganj,"F.S.M.F, Setabganj, Dinajpur",Md. Touhidul Islam,,1769459818,fmsetabganj@fisheries.gov.bd,http://fsmf.bochaganj.dinajpur.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
45,Rangpur,Dinajpur,Parbatipur,"F.S.M.F, Pulhat, Dinajpur",Md. Mahfuzul Haque,,1769459815,fmpulhat@fisheries.gov.bd,http://www.fsmf.parbatipur.dinajpur.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
46,Rangpur,Dinajpur,Birampur,"F.S.M.F, Charkai, Birampur, Dinajpur",,,,fmcharkai@fisheries.gov.bd,http://fsmf.birampur.dinajpur.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
47,Rangpur,Dinajpur,Birganj,"F.S.M.F, Birganj, Dinajpur",Md. Shamshuzzaman,,01769459816,fmbirganj@fisheries.gov.bd,http://www.fsmf.birganj.dinajpur.gov.bd/en,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
48,Sylhet,Sylhet,Golapganj,"F.S.M.F, Golapganj, Sylhet",Md. Hasibul Hasan,,1769459855,fmgolapganj@fisheries.gov.bd,http://fmo.golapganj.sylhet.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
49,Sylhet,Sylhet,Khadimnagar,"F.S.M.F, Khadimnagar, Sylhet",Dijaraj Barman,,1769459854,fmkhadimnagar@fisheries.gov.bd,http://fsmf.sylhetsadar.sylhet.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
50,Sylhet,Moulvibazar,Sadar,"F.S.M.F, Moulvibazar Sadar, Moulvibazar",Shuvra Sarker,,1769459890,fmmoulvibazar@fisheries.gov.bd,https://fsmf.moulvibazar.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
51,Sylhet,Sunamganj,Shantiganj,"Fish Hatchery Complex, Shantiganj, Sunamganj",Md. Moniruzzaman,,01769459894,,https://chc.shantiganj.sunamganj.gov.bd/bn,Hatchery,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
52,Chattogram,Cumilla,Jangalia,"F.S.M.F, Jangalia, Cumilla",Ashok Kumar Dash,,1769459424,fmjangalia@fisheries.gov.bd,http://fsmf.sadarsouth.comilla.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
53,Chattogram,Cumilla,Burichang,"F.S.M.F, Burichang, Cumilla",Shamsi Ara Ferdousy,,1769459429,fmburichang@fisheries.gov.bd,http://fsmf.burichang.comilla.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
54,Chattogram,Cumilla,Choddogram,"F.S.M.F, Choddogram, Cumilla",Md. Latifur Rahman,,1769459427,fmchoddogram@fisheries.gov.bd,http://fsmf.chauddagram.comilla.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
55,Chattogram,Cumilla,Chandina,"F.S.M.F, Chandina, Cumilla",Md. Ashraf Uddin,,1769459428,fmchandina@fisheries.gov.bd,http://fsmf.chandina.comilla.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
56,Chattogram,Lakshmipur,Sadar,"F.S.M.F, Mandari, Lakshmipur Sadar, Lakshmipur",Md Hasanul Haque,,01769-459404,fmlakshimipur@fisheries.gov.bd,http://fsmf.sadar.lakshmipur.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
57,Chattogram,Feni,Sadar,"F.S.M.F, Feni Sadar, Feni",,,,,,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
58,Chattogram,Feni,Sonagazi,"F.S.M.F, Sonagazi, Feni",Abdullal Al Mamun,,01769459325,fmsonagazi@fisheries.gov.bd,http://fpecfisheries.sonagazi.feni.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
59,Chattogram,Feni,Chhagalnaiya,"F.S.M.F, Chhagalnaiya, Feni",Samiron Kumer Saha,,1769459326,fmfeni@fisheries.gov.bd,http://fsmf.chhagalnaiya.feni.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
60,Chattogram,Noakhali,Begumganj,"F.S.M.F, Chowmuhani, Begumganj, Noakhali",K. M. Mahfujur Rahman,,1769459316,fmchowmuhani@fisheries.gov.bd,http://fsmf.begumganj.noakhali.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
61,Chattogram,Chattogram,Mirsharai,"F.S.M.F, Mirsharai, Chattogram",Md. Motasim Bella,,1334911672,fmmirsarai@fisheries.gov.bd,http://fsmf.mirsharai.chittagong.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
62,Chattogram,Chattogram,Patiya,"F.S.M.F, Patiya, Chattogram",Md. Abu Tayeb,,01819626212,fmpatiya@fisheries.gov.bd,http://fsmf.patiya.chittagong.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
63,Chattogram,Chandpur,Kachua,"F.S.M.F, Kachua, Chandpur",Md. Johirul Islam,,1712745292,fmkachuya@fisheries.gov.bd,http://fsmf.kachua.chandpur.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
64,Chattogram,Cox's Bazar,Teknaf,"Shrimp Demonstration Firm Teknaf, Cox's Bazar",,,,,,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
65,Chattogram,Brahmanbaria,Sadar,"F.S.M.F, Ramrail, Brahmanbaria",Md. Anwar Kamal,,1769459370,fmramrail@fisheries.gov.bd,http://fsmf.sadar.brahmanbaria.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
66,Chattogram,Brahmanbaria,Kasba,"Jiol F.S.M.F, Kasba, Brahmanbaria",,,,,,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
67,Chattogram,Rangamati,Kawkhali,"F.S.M.F, Kawkhali, Rangamati",,,,,http://fsmf.kawkhali.rangamati.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
68,Chattogram,Khagrachhari,Sadar,"F.S.M.F Sadar, Khagrachhari",Sharat Kumar Tripura,,1556644244,sharat.tripura@gmail.com,https://fsmf.sadar.khagrachhari.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
69,Barishal,Pirojpur,Sadar,"F.S.M.F, Sadar, Pirojpur",Shamim Ahmed,,1769459634,fmpirojpur@fisheries.gov.bd,http://fsmf.sadar.pirojpur.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
70,Barishal,Jhalokati,Sadar,"F.S.M.F, Jhalokati Sadar, Jhalokati",Md Abdul Quddus Miah,,1714520015,fmjhalokati@fisheries.gov.bd,http://fsmf.sadar.jhalakathi.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
71,Barishal,Barguna,Sadar,"F.S.M.F, Barguna Sadar, Barguna",Md. Harun ar Rashid,,01769-459590,fmbarguna@fisheries.gov.bd,http://fsmf.sadar.barguna.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
72,Barishal,Patuakhali,Sadar,"F.S.M.F, Patuakhali Sadar, Patuakhali",Shahnaj Parveen,,1769459624,fmpatuakhali@fisheries.gov.bd,http://fsmf.sadar.patuakhali.gov.bd/,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
73,Barishal,Bhola,Sadar,"F.S.M.F, Bhola Sadar, Bhola",H. M. Zakir Hossain,,01769-459581,fmbholasadar@fisheries.gov.bd,http://fsmf.sadar.bhola.gov.bd,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
74,Barishal,Bhola,Charfesson,"F.S.M.F Charkachhopia, Charfesson, Bhola",,,,,,,,,DoF Farm List,DoF Farm List (PDF supplied by user),Source-listed; current activity not independently verified
