fish_name,tank_volume_m3,fish_count,initial_weight_g,stocking_density_fish_m3,temperature,ph,dissolved_oxygen,ammonia,nitrite,alkalinity,feed_protein_percent,daily_feed_kg,culture_period_days,final_weight_g,final_biomass_kg,survival_rate_percent,fcr
Tilapia,55.6,9285,68.5,167.0,27.5,7.78,4.47,0.9,0.48,149.6,29.1,13.356,143,128.43,938.84,78.73,1.36
Rohu,76.5,1519,78.0,19.86,31.4,6.95,6.42,0.48,0.98,71.6,33.3,2.69,224,147.58,193.15,86.16,1.71
Common Carp,88.9,5433,48.6,61.11,24.5,7.71,6.89,1.09,0.37,150.1,25.3,5.809,147,75.4,307.72,75.12,1.89
Koi,94.9,2571,45.9,27.09,31.4,6.98,6.29,0.37,0.79,144.9,30.7,3.233,212,99.89,212.79,82.86,1.41
Tilapia,74.5,2225,27.0,29.87,26.9,7.37,5.0,0.08,0.03,143.1,29.4,0.991,179,58.29,123.45,95.18,1.48
Koi,87.3,7441,32.4,85.23,24.4,6.71,4.37,0.34,0.18,137.7,33.2,4.002,106,51.18,333.84,87.67,1.63
Shing,13.4,1162,10.4,86.72,29.2,8.5,7.2,0.35,0.78,133.6,25.5,0.282,114,15.62,14.68,80.91,1.5
Tilapia,31.1,5357,55.5,172.25,26.1,8.49,7.27,0.33,0.83,159.3,31.1,8.563,199,114.37,445.24,72.67,1.47
Gulsha,52.1,9609,65.9,184.43,24.5,8.09,6.66,1.07,0.27,86.7,33.1,10.575,191,113.93,716.87,65.48,1.83
Catla,69.0,5699,68.8,82.59,32.0,7.21,6.84,0.53,0.64,176.7,34.9,8.587,96,97.71,428.18,76.89,1.88
Pabda,8.9,2018,63.8,226.74,24.9,8.2,3.73,0.54,0.91,95.9,27.0,2.511,115,88.92,107.67,60,1.86
Thai Koi,7.8,6667,51.9,854.74,25.0,8.04,4.99,0.51,0.17,129.4,25.4,7.059,98,77.9,394.08,75.88,1.61
Magur,43.0,8114,53.8,188.7,29.7,7.65,5.49,0.52,0.19,164.7,31.2,11.481,232,112.47,698.59,76.55,1.56
Tilapia,81.8,5841,15.1,71.41,27.9,8.48,4.8,1.02,0.85,177.5,25.7,2.337,222,30.57,117.5,65.8,1.44
Gulsha,14.2,2132,12.6,150.14,30.6,8.19,5.36,0.45,0.45,178.2,34.9,0.768,202,24.06,41.58,81.04,1.61
Magur,35.0,6698,38.9,191.37,24.3,7.97,4.59,0.31,0.71,81.3,30.1,5.602,145,62.76,316.18,75.22,1.84
Rohu,23.9,7585,28.9,317.36,24.8,7.64,7.39,0.83,0.27,160.8,31.8,4.559,137,42.55,246.18,76.27,1.71
Pangasius,67.4,952,22.3,14.12,26.7,8.05,4.56,0.25,0.49,102.6,30.1,0.58,149,44.05,38.56,91.95,1.55
Rohu,23.0,5972,10.6,259.65,25.5,7.01,4.08,1.01,0.22,157.3,30.2,1.5,170,17.3,72.1,69.8,1.74
Pangasius,17.1,1543,63.7,90.23,24.5,6.91,5.35,0.37,0.39,74.4,33.0,2.29,217,161.31,230.08,92.44,1.5
Rohu,82.3,598,68.7,7.27,27.4,6.86,7.09,0.79,0.95,166.9,25.6,0.785,114,100.53,47.39,78.82,1.92
Catla,30.8,1117,14.5,36.27,27.4,7.86,7.2,0.1,0.95,98.6,29.9,0.385,195,25.34,23.35,82.48,1.56
Common Carp,91.1,6154,11.5,67.55,24.2,8.22,6.51,0.64,0.32,126.4,25.1,1.267,130,17.81,88.37,80.65,1.66
Mrigal,90.3,8197,61.0,90.78,27.9,7.44,6.18,0.1,0.06,78.5,32.0,7.5,171,111.75,819.44,89.46,1.77
Catla,34.6,1128,37.5,32.6,27.0,7.16,4.27,0.17,0.67,154.4,29.2,1.083,238,76.41,69.68,80.84,1.64
Rohu,39.6,4089,65.0,103.26,31.7,7.29,5.77,1.11,0.8,154.2,29.2,5.794,102,83.72,229.41,67.01,1.84
Silver Carp,88.9,9750,38.0,109.67,31.4,6.95,5.01,0.34,0.72,129.5,30.4,10.078,165,66.56,526.87,81.18,1.83
Thai Koi,73.9,7049,66.6,95.39,29.0,7.67,4.44,1.02,0.1,179.3,32.9,9.061,100,101.8,554.43,77.26,1.74
Pabda,14.6,6552,52.6,448.77,25.5,6.59,6.64,0.27,0.66,157.8,30.9,6.927,183,90.71,416.34,70.05,1.61
Pangasius,78.3,8838,16.5,112.87,31.4,6.8,4.66,1.11,0.57,101.8,25.1,3.966,138,27.32,168.76,69.9,1.72
Rohu,93.1,646,48.4,6.94,25.3,8.36,5.33,1.14,0.72,122.1,25.1,0.782,135,70.93,29.76,64.95,1.87
Rohu,38.3,8418,53.1,219.79,28.8,7.25,4.29,0.36,0.82,111.4,28.0,11.935,155,86.74,562.51,77.04,1.81
Thai Koi,51.9,2928,38.2,56.42,24.4,8.1,6.18,0.26,0.97,94.1,32.6,1.879,149,71.43,178.9,85.54,1.64
Common Carp,41.8,7604,51.8,181.91,24.4,8.24,4.14,0.59,0.16,144.6,32.2,6.066,150,79.52,444.74,73.55,1.71
Catla,7.3,2179,65.7,298.49,29.2,6.52,6.29,0.45,0.38,146.2,32.2,2.233,93,88.26,154.4,80.28,1.84
Gulsha,81.3,9422,27.7,115.89,24.4,7.42,4.2,0.24,0.45,145.2,32.4,4.802,236,59.54,505.17,90.05,1.67
Rohu,78.5,7698,62.0,98.06,25.0,8.18,3.9,0.49,0.81,171.8,32.1,12.266,208,116.9,684.89,76.11,1.82
Pabda,24.8,1593,66.6,64.23,27.4,6.79,6.17,0.66,0.43,109.3,27.7,2.122,93,95.79,116.87,76.59,1.49
Catla,69.0,8310,21.3,120.43,25.3,6.91,7.09,0.83,0.62,162.9,29.4,2.921,104,29.44,181.85,74.33,1.76
Gulsha,14.0,3400,60.1,242.86,29.9,7.86,4.55,0.65,0.94,177.8,34.9,5.66,103,86.3,197.59,67.34,1.67
Gulsha,42.7,3602,41.2,84.36,31.1,8.18,5.31,0.2,0.9,102.3,34.0,2.434,200,80.13,237.87,82.41,1.63
Common Carp,18.1,7696,37.3,425.19,30.2,6.62,5.32,1.19,0.78,102.6,27.3,7.55,196,60.67,280.15,60,1.75
Pabda,92.4,1232,53.3,13.33,32.0,8.26,3.7,0.65,0.84,112.0,26.1,1.583,131,80.66,62.11,62.5,1.74
Common Carp,66.1,5711,65.8,86.4,26.2,8.09,4.27,0.73,0.11,158.3,29.5,6.013,162,112.88,528.31,81.95,1.73
Pangasius,24.8,4623,74.5,186.41,30.1,8.22,5.96,0.44,0.43,136.7,26.7,5.821,211,160.7,613.59,82.59,1.37
Rohu,40.0,9661,16.9,241.53,30.9,7.81,4.89,0.46,0.73,170.2,34.6,4.882,206,28.88,217.48,77.95,1.66
Pabda,62.8,2877,78.6,45.81,26.4,7.56,4.76,0.96,0.48,133.6,25.9,6.219,141,129.45,314.63,84.48,1.53
Thai Koi,26.4,7246,49.8,274.47,27.8,6.72,4.35,0.05,0.3,131.8,34.8,7.145,191,100.52,590.59,81.08,1.54
Pangasius,17.3,7690,7.1,444.51,25.2,7.66,6.06,1.09,0.99,146.0,25.6,0.879,140,11.03,51.33,60.54,1.49
Pangasius,70.5,8937,78.0,126.77,29.5,7.83,5.85,0.99,0.43,75.8,34.6,16.312,187,170.64,1326.02,86.95,1.54
Tilapia,92.4,1372,29.6,14.85,27.9,7.82,3.83,1.1,0.35,168.6,25.1,0.914,209,60.17,58.91,71.37,1.58
Thai Koi,43.7,3584,23.2,82.01,29.2,7.85,5.09,0.56,0.71,104.8,30.6,1.696,94,33.65,93.29,77.36,1.55
Thai Koi,84.3,4281,68.7,50.78,29.4,7.64,4.81,0.7,0.8,84.4,32.3,6.059,206,134.18,450.7,78.46,1.64
Tilapia,74.8,7078,7.2,94.63,26.0,6.81,6.47,0.8,0.39,149.4,28.0,1.325,175,15.36,95.16,87.5,1.31
Gulsha,81.9,5373,24.1,65.6,25.0,8.22,7.11,0.29,0.2,102.7,29.0,3.406,218,48.91,228.47,86.94,1.72
Pangasius,74.7,5844,60.7,78.23,24.8,7.61,6.3,0.14,0.25,132.0,30.4,8.975,166,127.36,698.09,93.79,1.33
Pabda,6.7,9583,27.0,1430.3,26.2,6.82,5.36,0.59,0.96,134.2,26.5,5.485,113,37.74,250.05,69.13,1.84
Catla,34.3,7412,21.8,216.09,26.3,8.46,4.93,0.66,0.94,173.5,32.7,2.925,102,29.33,138.77,63.84,1.82
Pangasius,46.3,8106,68.5,175.08,24.5,7.64,4.86,0.59,0.49,107.5,29.9,8.829,168,136.93,878.33,79.13,1.52
Pabda,12.7,2953,64.9,232.52,24.9,8.0,4.68,0.23,0.97,99.8,29.5,4.293,190,120.19,265.38,74.77,1.89
Mrigal,23.2,8121,50.9,350.04,26.6,7.8,6.06,0.24,0.64,168.5,32.9,9.053,116,73.93,461.25,76.83,1.73
Catla,79.2,1547,51.4,19.53,26.8,7.91,4.77,1.07,0.4,137.2,26.0,1.431,179,83.4,94.34,73.12,1.86
Shing,54.9,5520,49.7,100.55,26.8,8.45,4.99,0.97,0.27,137.1,27.6,5.432,195,90.98,397.01,79.05,1.45
Magur,6.4,9334,71.1,1458.44,25.9,7.53,5.99,0.74,0.74,110.2,30.2,15.994,122,108.52,713.49,70.44,1.83
Pabda,72.8,4986,52.4,68.49,28.1,8.37,6.8,0.85,0.7,157.8,32.9,7.76,138,81.04,288.48,71.39,1.65
Mrigal,94.1,7853,41.4,83.45,29.8,7.55,6.11,0.08,0.22,117.2,31.6,9.136,227,81.85,593.18,92.28,1.55
Pabda,84.4,5210,69.0,61.73,27.8,6.91,5.95,0.81,0.66,93.3,34.8,7.226,197,121.43,480.54,75.96,1.86
Pangasius,99.3,3013,78.1,30.34,28.7,7.15,4.26,1.01,0.98,145.9,29.1,6.871,234,168.43,344.52,67.89,1.65
Mrigal,19.7,9227,77.6,468.38,25.5,7.02,6.74,0.41,0.85,98.4,26.5,17.757,154,124.97,888.57,77.06,1.71
Gulsha,33.1,7479,43.2,225.95,30.0,7.1,4.57,0.5,0.2,94.0,34.7,7.463,111,63.69,394.7,82.86,1.65
Tilapia,32.0,7301,12.8,228.16,24.3,8.39,7.33,1.12,0.94,172.9,32.2,2.607,104,17.94,78.59,60,1.59
Koi,38.0,3744,20.2,98.53,27.1,8.37,5.81,1.12,0.78,170.2,31.6,2.239,208,38.48,93.34,64.78,1.67
Silver Carp,26.8,7380,51.3,275.37,30.1,7.67,7.36,0.89,0.33,138.0,26.8,11.055,129,77.7,426.68,74.41,1.79
Catla,72.3,8811,10.0,121.87,24.5,6.99,5.43,0.13,0.83,104.6,26.6,2.449,233,20.22,148.31,83.24,1.81
Mrigal,14.6,2173,39.5,148.84,27.3,6.63,4.47,1.04,0.2,84.2,30.5,1.974,131,56.26,87.28,71.39,1.92
Magur,28.1,8888,13.8,316.3,25.1,6.52,4.96,0.27,0.49,83.4,25.0,3.226,204,27.45,190.93,78.27,1.46
Pabda,74.4,9681,50.2,130.12,28.0,8.44,3.88,1.11,0.8,173.2,33.2,10.206,138,71.33,414.32,60,1.84
Common Carp,43.3,6043,48.2,139.56,31.5,8.12,7.0,1.16,0.12,147.7,34.6,4.427,162,78.85,351.7,73.81,1.66
Silver Carp,38.5,5593,77.1,145.27,25.0,7.23,6.4,0.43,0.58,169.2,27.8,9.616,161,128.41,582.44,81.1,1.78
Thai Koi,38.5,1142,5.3,29.66,27.4,8.34,5.7,0.22,0.42,121.8,27.9,0.099,180,10.48,10.37,86.6,1.46
Tilapia,55.4,2715,32.1,49.01,30.0,8.36,7.15,0.96,0.32,91.1,34.4,2.501,200,69.16,155.39,82.76,1.38
Thai Koi,97.8,8447,74.9,86.37,29.9,7.51,4.52,0.98,0.29,90.0,26.7,9.933,129,130.56,916.65,83.12,1.48
Rohu,66.7,5365,68.5,80.43,28.3,7.09,7.47,0.44,0.13,106.3,28.9,8.306,95,95.77,478.25,93.08,1.53
Mrigal,15.5,5939,41.2,383.16,30.5,7.93,5.02,1.15,0.75,132.3,33.3,7.023,123,53.93,192.17,60,1.72
Thai Koi,85.5,7591,31.9,88.78,29.6,7.18,7.48,0.51,0.74,125.0,29.5,6.562,146,52.48,300.64,75.47,1.51
Tilapia,32.1,9141,8.7,284.77,26.8,7.54,6.44,0.38,0.47,165.4,31.3,1.925,234,21.77,170.51,85.69,1.32
Gulsha,89.9,1482,20.6,16.48,30.1,8.41,6.53,0.96,0.49,113.2,32.9,0.751,150,35.1,39.82,76.56,1.47
Catla,6.3,6797,5.6,1078.89,25.9,7.84,6.0,0.74,0.54,84.2,30.5,1.108,193,9.41,43.53,68.04,1.74
Common Carp,32.8,1304,53.5,39.76,25.0,7.58,4.43,0.43,0.57,106.3,26.3,1.235,114,82.53,88.42,82.16,1.63
Mrigal,88.2,7211,70.3,81.76,30.6,7.78,7.29,0.5,0.63,175.0,32.3,14.448,144,112.31,662.62,81.82,1.55
Shing,7.1,664,53.2,93.52,27.3,7.2,5.5,0.48,0.73,103.4,31.1,0.579,127,86.0,47.94,83.96,1.68
Pangasius,43.0,1990,48.0,46.28,25.6,7.27,4.37,0.75,0.48,88.4,26.0,2.789,232,121.07,204.91,85.05,1.36
Thai Koi,66.9,9109,67.7,136.16,30.5,7.47,3.9,0.85,0.5,78.6,33.1,11.1,219,144.7,1012.67,76.83,1.68
Tilapia,74.2,7800,28.8,105.12,27.2,7.29,7.1,1.19,0.27,153.4,27.4,6.223,135,51.23,314.31,78.66,1.61
Mrigal,6.8,9610,40.4,1413.24,32.0,6.63,3.87,0.92,0.56,146.9,30.9,10.327,117,53.18,306.66,60,1.95
Thai Koi,59.0,2298,26.2,38.95,24.9,7.23,4.39,0.19,0.05,129.7,31.8,1.565,190,56.73,120.43,92.38,1.57
Catla,56.5,7560,53.3,133.81,28.0,8.16,6.49,0.36,0.92,127.5,30.9,7.656,230,101.0,642.4,84.13,1.59
Common Carp,27.8,2045,19.7,73.56,28.5,8.2,4.13,1.11,0.24,170.9,28.8,1.064,211,34.91,53.81,75.39,1.65
Common Carp,62.8,6512,69.8,103.69,27.8,7.28,5.11,0.33,0.89,156.9,34.4,10.045,211,137.14,764.07,85.56,1.67
Tilapia,23.4,1039,10.0,44.4,26.4,6.66,4.92,0.82,0.51,120.0,27.3,0.205,219,21.25,15.99,72.4,1.41
Catla,28.8,4070,50.1,141.32,27.4,8.27,5.6,0.84,0.4,112.9,30.5,3.446,234,95.39,297.05,76.51,1.74
Thai Koi,31.3,3068,77.1,98.02,24.7,6.94,3.58,0.69,0.44,76.5,30.8,4.187,160,134.11,318.54,77.42,1.73
Gulsha,38.8,7512,39.8,193.61,29.5,6.66,4.73,0.49,0.76,91.6,34.9,7.175,178,70.7,368.73,69.43,1.75
Pabda,30.2,1324,9.0,43.84,31.3,7.67,4.43,0.07,0.62,106.8,31.8,0.301,219,17.65,19.27,82.44,1.55
Pangasius,73.7,3943,64.3,53.5,31.7,7.48,5.16,0.53,0.19,122.4,29.7,6.744,236,155.96,529.58,86.12,1.41
Magur,56.5,7416,42.1,131.26,30.6,8.48,4.96,0.82,0.87,170.2,32.8,4.683,92,56.44,302.47,72.26,1.7
Silver Carp,19.2,6374,40.9,331.98,29.4,7.76,6.99,0.48,0.69,175.5,26.1,5.24,125,59.43,284.34,75.06,1.89
Catla,43.0,5704,21.5,132.65,25.6,6.72,5.59,0.89,0.43,87.8,33.4,2.772,206,38.57,168.4,76.54,1.76
Shing,34.4,7699,65.6,223.81,25.0,7.11,5.1,0.37,0.1,102.8,28.1,9.849,176,127.45,813.91,82.95,1.44
Mrigal,78.2,7761,15.8,99.25,26.1,8.17,4.78,0.46,0.73,113.5,26.6,2.906,183,28.3,187.42,85.33,1.58
Silver Carp,55.9,9794,57.2,175.21,26.1,6.83,4.91,0.79,0.62,155.1,27.0,11.148,237,103.69,707.02,69.62,1.83
Common Carp,75.8,3312,20.2,43.69,26.4,7.19,6.9,0.52,0.41,166.8,25.8,1.96,120,32.13,87.35,82.07,1.6
Rohu,76.9,2813,69.1,36.58,24.4,8.46,5.73,0.09,0.86,168.9,27.0,4.548,209,127.83,293.16,81.53,1.58
Catla,12.9,2169,10.5,168.14,29.1,7.73,3.52,0.1,0.31,84.7,34.8,0.572,96,14.8,24.5,76.32,1.8
Koi,92.7,999,40.6,10.78,29.7,6.97,5.68,0.64,0.14,84.4,25.8,1.002,156,72.35,61.99,85.77,1.58
Thai Koi,29.0,1433,54.3,49.41,27.1,6.93,4.71,0.72,0.57,123.5,32.9,1.657,202,113.34,125.34,77.17,1.59
Catla,47.2,6536,69.8,138.47,29.5,7.31,7.42,0.78,0.86,123.9,29.6,7.254,138,103.89,518.38,76.34,1.93
Thai Koi,41.4,6302,30.9,152.22,27.2,7.0,7.38,0.69,0.51,112.8,29.8,4.089,122,46.18,197.83,67.97,1.58
Rohu,51.6,9877,41.6,191.41,29.7,8.37,5.82,0.97,0.72,75.5,25.2,10.067,111,57.36,369.01,65.13,1.93
Rohu,83.4,4935,41.7,59.17,25.9,7.23,5.75,0.7,0.42,114.1,33.2,5.742,173,70.32,296.42,85.42,1.78
Rohu,82.7,8439,40.7,102.04,29.8,8.35,6.8,0.79,0.19,148.1,30.3,8.724,160,69.53,477.94,81.45,1.61
Catla,37.5,3434,25.0,91.57,25.6,7.15,7.36,1.15,0.16,104.7,33.1,1.811,120,35.11,88.01,72.99,1.95
Pabda,58.0,8848,66.7,152.55,26.7,6.67,6.23,0.55,0.17,126.9,26.1,11.98,126,102.99,651.66,71.51,1.62
Mrigal,27.1,2953,15.2,108.97,28.3,6.61,7.04,0.71,0.61,129.7,33.8,0.916,145,22.9,48.96,72.39,1.95
Silver Carp,70.4,7388,30.3,104.94,30.8,8.48,4.71,0.94,0.32,165.4,34.0,6.313,175,52.52,297.17,76.58,1.68
Pangasius,18.0,888,62.8,49.33,30.9,6.72,4.38,0.27,0.42,133.4,33.2,1.021,226,151.16,121.17,90.27,1.46
Thai Koi,61.8,8803,40.2,142.44,27.0,6.72,3.86,0.96,0.87,166.1,27.2,8.953,212,76.78,446.23,66.02,1.7
Tilapia,12.7,9185,26.6,723.23,26.7,6.54,4.13,0.9,0.13,164.4,30.8,4.74,170,50.87,355.36,76.06,1.47
Pangasius,50.3,4286,16.7,85.21,31.0,6.75,4.63,0.55,0.99,76.0,32.5,2.04,200,35.46,112.36,73.94,1.75
Common Carp,59.1,3913,79.4,66.21,24.6,8.31,3.87,0.56,0.35,165.6,31.2,7.705,221,147.82,419.76,72.57,1.66
Catla,85.0,8421,38.9,99.07,25.9,7.13,4.26,1.17,0.39,179.5,25.7,5.995,141,60.88,377.39,73.61,1.76
Silver Carp,5.7,5863,63.2,1028.6,31.4,7.02,4.94,0.49,0.45,131.5,31.9,8.819,224,124.37,610.32,83.7,1.62
Thai Koi,18.8,7828,65.4,416.38,24.5,8.12,4.85,0.2,0.41,110.7,29.7,8.447,151,117.81,777.31,84.29,1.39
Common Carp,90.2,7617,71.5,84.45,26.0,7.74,7.02,0.73,0.21,101.8,30.0,15.14,209,140.8,918.9,85.68,1.66
Tilapia,80.1,4671,45.5,58.31,24.5,7.88,6.93,1.14,0.7,156.0,28.0,6.142,171,85.85,281.59,70.22,1.48
Magur,88.0,2110,33.2,23.98,28.0,6.54,5.14,0.59,0.37,136.4,33.3,1.793,181,64.1,107.97,79.83,1.42
Rohu,7.5,5118,78.0,682.4,25.5,8.19,6.74,1.14,0.41,158.7,29.2,6.188,162,121.34,431.98,69.56,1.88
Pangasius,13.4,1052,38.4,78.51,30.3,8.15,7.14,0.12,0.99,144.6,33.1,1.119,180,81.44,74.04,86.42,1.32
Gulsha,22.6,6338,72.1,280.44,25.8,7.72,3.96,1.13,0.08,117.7,29.8,11.927,138,103.47,393.46,60,1.82
Thai Koi,93.3,3913,45.5,41.94,30.7,7.37,4.94,0.59,0.83,174.6,32.1,5.217,131,71.64,215.3,76.8,1.52
Tilapia,27.9,2544,10.2,91.18,25.4,8.2,4.49,1.06,0.33,136.8,29.6,0.597,195,21.84,42.95,77.3,1.38
Catla,69.9,5538,37.8,79.23,29.3,8.36,5.93,0.77,0.4,70.8,26.4,5.694,224,69.06,297.5,77.79,1.56
Shing,37.5,7840,21.4,209.07,26.3,7.47,6.4,0.9,0.34,103.1,26.6,4.933,236,46.55,281.91,77.24,1.61
Catla,25.5,7250,61.1,284.31,31.3,6.69,6.89,0.46,0.57,131.5,25.5,12.448,195,103.41,519.76,69.33,1.88
Pabda,12.9,1580,73.1,122.48,29.1,7.74,6.32,0.05,0.59,150.9,27.6,1.975,135,120.75,161.0,84.39,1.62
Thai Koi,64.3,5296,15.7,82.36,26.6,7.68,7.13,0.21,0.31,147.3,27.6,1.946,238,37.38,180.98,91.41,1.36
Pangasius,26.5,2149,55.2,81.09,29.8,8.44,5.76,1.03,0.93,72.9,32.1,3.476,125,88.94,123.32,64.52,1.49
Thai Koi,66.9,765,29.0,11.43,26.0,7.3,4.58,0.96,0.28,78.9,32.7,0.437,102,44.16,29.02,85.91,1.48
Shing,45.9,2669,17.0,58.15,26.5,7.89,6.37,0.35,0.92,91.5,25.0,1.329,199,34.3,76.96,84.07,1.56
Pangasius,89.8,8425,77.8,93.82,25.0,6.58,4.51,0.87,0.12,161.6,28.2,11.733,188,157.75,1093.43,82.27,1.35
Koi,63.2,605,76.0,9.57,31.0,6.93,6.96,0.32,0.07,141.3,31.6,1.058,217,169.28,93.99,91.78,1.44
Catla,13.7,2713,25.3,198.03,27.9,7.26,6.7,1.08,0.95,154.5,26.8,1.332,233,41.62,67.75,60,1.79
Rohu,92.9,8896,19.1,95.76,29.0,7.26,5.4,0.62,0.52,148.4,25.6,3.415,165,32.39,221.43,76.85,1.89
Pangasius,79.9,4302,72.5,53.84,24.3,6.75,7.3,0.14,0.38,148.3,29.9,5.801,230,179.53,678.28,87.82,1.53
Silver Carp,96.9,3895,38.3,40.2,28.8,6.63,6.04,0.59,0.74,81.6,34.6,2.73,90,53.07,144.42,69.87,1.76
Thai Koi,81.1,8590,31.5,105.92,26.5,8.29,7.14,0.37,0.41,126.6,29.4,4.059,102,50.88,377.95,86.47,1.45
Silver Carp,67.8,3835,19.1,56.56,27.9,7.69,5.37,0.66,0.31,153.5,29.4,1.194,105,27.25,86.68,82.93,1.59
Silver Carp,57.2,1222,33.8,21.36,28.4,8.18,4.79,1.12,0.6,75.2,29.3,0.884,165,54.51,44.17,66.31,1.75
